,index,majority,shortest_path,shortest_restricted_path,relative_increase,absolute_increase,n_cameras,id_year,year,id_race,race,household_income_by_race,household_income_by_race_moe,geography,id_geography
245,Census Tract 2214,white,330.78461727792956,338.47083219887236,0.023236313055285594,7.686214920942803,0.7036925586324196,2022,2022,0,Total,104583,32531.0,Census Tract 2214,14000US17031221400
246,Census Tract 1610,white,371.9718611397542,383.1905646015182,0.03016008637693429,11.218703461763994,0.9995992887326304,2022,2022,0,Total,102159,10883.0,Census Tract 1610,14000US17031161000
247,Census Tract 2405,white,368.702945339841,371.42493442475404,0.007382607378967736,2.721989084913048,0.2791497766100735,2022,2022,0,Total,171962,10481.0,Census Tract 2405,14000US17031240500
248,Census Tract 2407,white,497.81987070661245,559.131820969542,0.1231609139585017,61.31195026292954,1.8625688833301468,2022,2022,0,Total,102102,39293.0,Census Tract 2407,14000US17031240700
249,Census Tract 2408,white,472.85744038960405,489.48104893836313,0.03515564550504333,16.62360854875908,0.6277934472980997,2022,2022,0,Total,130278,62395.0,Census Tract 2408,14000US17031240800
250,Census Tract 2409,white,631.5894831145579,673.9088824967218,0.06700459794465587,42.319399382163965,3.0,2022,2022,0,Total,76429,30271.000000000004,Census Tract 2409,14000US17031240900
251,Census Tract 2411,white,422.6531573350373,438.0317079685577,0.03638574648415521,15.378550633520433,1.4493331754081693,2022,2022,0,Total,92927,15149.0,Census Tract 2411,14000US17031241100
252,Census Tract 1903,white,387.49508553569194,444.1551070301154,0.14622126475770372,56.66002149442346,2.5623797045845738,2022,2022,0,Total,69309,16712.0,Census Tract 1903,14000US17031190300
253,Census Tract 1908,white,814.5128530682084,939.8664078234171,0.15390003274105665,125.35355475520873,3.5041070737186693,2022,2022,0,Total,52404,13953.0,Census Tract 1908,14000US17031190800
254,Census Tract 1911,white,630.2561499737963,673.3728633251125,0.06841141233307893,43.11671335131621,4.724156449364653,2022,2022,0,Total,50513,15559.000000000002,Census Tract 1911,14000US17031191100
255,Census Tract 801,white,258.7718706569546,260.82164212485566,0.007921152568465865,2.049771467901053,0.4126750894366572,2022,2022,0,Total,114681,23389.0,Census Tract 801,14000US17031080100
256,Census Tract 810,white,266.46738806882337,269.39655634856126,0.010992595758027045,2.929168279737894,0.6393238354121065,2022,2022,0,Total,79556,14729.0,Census Tract 810,14000US17031081000
257,Census Tract 1506,white,811.0256749920923,878.1643080177303,0.08278237680489292,67.138633025638,3.740108440285516,2022,2022,0,Total,81923,22415.0,Census Tract 1506,14000US17031150600
