,majority,shortest_path,shortest_restricted_path,relative_increase,absolute_increase,n_cameras
Census Tract 1606.01,white,147.0,147.0,0.0,0.0,0.0
Census Tract 2105.01,white,159.1,159.1,0.0,0.0,0.0
Census Tract 2106.01,white,235.8,235.8,0.0,0.0,0.0
Census Tract 813,white,182.6,182.6,0.0,0.0,0.0
Census Tract 7005.02,black,266.3,266.3,0.0,0.0,0.0
Census Tract 8361,black,87.8,87.8,0.0,0.0,0.0
Census Tract 8357,white,99.4,99.4,0.0,0.0,0.0
Census Tract 611,white,126.5,164.89999999999998,0.30355731225296423,38.39999999999998,2.0
Census Tract 8365,black,284.5,290.3,0.02038664323374345,5.800000000000011,1.0
Census Tract 8396,black,51.3,51.3,0.0,0.0,0.0
Census Tract 8400,white,192.5,192.5,0.0,0.0,0.0
Census Tract 8356,white,142.8,142.8,0.0,0.0,0.0
Census Tract 8308,white,74.0,74.0,0.0,0.0,0.0
Census Tract 4603.01,black,108.10000000000001,108.10000000000001,0.0,0.0,0.0
Census Tract 3017.01,white,102.6,102.6,0.0,0.0,0.0
Census Tract 3104,white,126.60000000000001,126.60000000000001,0.0,0.0,0.0
Census Tract 5301,black,73.9,73.9,0.0,0.0,0.0
Census Tract 811,white,153.0,153.0,0.0,0.0,0.0
Census Tract 1507,white,154.1,154.1,0.0,0.0,0.0
Census Tract 3017.02,white,28.9,28.9,0.0,0.0,0.0
Census Tract 7003.01,black,119.10000000000001,119.10000000000001,0.0,0.0,0.0
Census Tract 4909.02,black,119.19999999999999,119.19999999999999,0.0,0.0,0.0
Census Tract 618,white,196.7,235.1,0.1952211489578038,38.400000000000006,2.0
Census Tract 4909.01,black,46.1,46.1,0.0,0.0,0.0
Census Tract 6503.02,white,257.3,257.3,0.0,0.0,0.0
Census Tract 8319,white,99.7,139.2,0.3961885656970911,39.499999999999986,1.0
Census Tract 8306,white,100.3,100.3,0.0,0.0,0.0
Census Tract 8309,white,319.20000000000005,345.59999999999997,0.08270676691729298,26.39999999999992,2.0
Census Tract 8307,white,116.8,116.8,0.0,0.0,0.0
Census Tract 3009,white,120.79999999999998,120.79999999999998,0.0,0.0,0.0
Census Tract 7005.01,black,208.29999999999998,224.5,0.07777244359097464,16.200000000000017,1.0
Census Tract 4603.02,black,178.0,178.0,0.0,0.0,0.0
Census Tract 4313.02,black,105.60000000000001,105.60000000000001,0.0,0.0,0.0
Census Tract 2229,white,169.9,169.9,0.0,0.0,0.0
Census Tract 4313.01,black,190.0,190.0,0.0,0.0,0.0
Census Tract 4401.01,black,45.9,45.9,0.0,0.0,0.0
Census Tract 3018.03,white,87.0,87.0,0.0,0.0,0.0
Census Tract 3102,white,141.0,141.0,0.0,0.0,0.0
Census Tract 3103,white,155.5,155.5,0.0,0.0,0.0
Census Tract 3105,white,90.3,90.3,0.0,0.0,0.0
Census Tract 5103,black,224.0,319.9,0.4281249999999999,95.89999999999998,1.0
Census Tract 4914,black,80.0,80.0,0.0,0.0,0.0
Census Tract 5002,black,57.3,57.3,0.0,0.0,0.0
Census Tract 5302,black,149.29999999999998,149.29999999999998,0.0,0.0,0.0
