Unnamed: 0,majority,shortest_path,shortest_restricted_path,relative_increase,absolute_increase,n_cameras,flow_weight,income
Census Tract 8309,white,339.3329287896191,352.2764333965789,0.0381439686773946,12.943504606959834,0.5094468911320468,282.241,121813.0
Census Tract 8307,white,294.50443358133634,300.57268918224105,0.0206049719765212,6.068255600904706,0.2299119229125106,6512.704,64330.0
Census Tract 7005.01,black,944.400045053203,1011.6633086702298,0.0712232744686468,67.26326361702672,2.112146585119032,1016.829,66979.0
Census Tract 4603.02,black,207.54281002523143,207.54281002523143,0.0,0.0,0.0,570.1695,50056.0
Census Tract 4313.02,black,686.2401884415926,686.2401884415926,0.0,0.0,0.0,228.8188,32031.0
Census Tract 4313.01,black,827.0164916491991,836.1147038003137,0.01100124633908,9.09821215111458,0.9414333658963494,1929.6943,36867.0
Census Tract 4401.01,black,521.9114644278593,547.7108829220603,0.049432557536331,25.79941849420095,0.4127728256530718,3271.2558,28877.0
Census Tract 3102,white,173.2086084932928,173.2086084932928,0.0,0.0,0.0,1297.3408,133382.0
Census Tract 3103,white,285.5293225310385,286.80823535869126,0.004479094533325,1.278912827652789,0.0500000292341415,1368.2632,66683.0
Census Tract 3105,white,457.4622899894775,463.8781138367572,0.0140248146954961,6.415823847279739,0.0847880634787444,1962.0993,58321.0
Census Tract 5103,black,960.3829873999922,989.427126597815,0.0302422466650027,29.0441391978228,1.312552359197961,3300.041,30607.0
Census Tract 4914,black,1114.4052100903286,1124.7707356382791,0.0093013972423105,10.36552554795071,0.4669374496364182,1711.6783,36480.0
Census Tract 5002,black,1338.3805247334424,1338.3805247334424,0.0,0.0,0.0,114.0339,38451.0
Census Tract 5302,black,1347.367805358018,1347.367805358018,0.0,0.0,0.0,114.0339,41464.0
Census Tract 1405,white,565.0068256057377,601.4981560252086,0.0645856452802121,36.49133041947084,0.786819886482788,842.1278,73273.0
Census Tract 1408,white,592.8369412854616,626.0162024749658,0.0559669259435162,33.17926118950413,1.8031807890200644,7002.2123,97722.0
Census Tract 3011,white,382.8054314428473,384.3738002557325,0.0040970390805944,1.5683688128851827,0.2838305428824551,2016.9799,34608.0
Census Tract 1502,white,502.6743726038169,566.0176179455339,0.1260124820241054,63.343245341716965,1.3766470886566131,956.4983,91038.0
Census Tract 1503,white,559.5677585453723,583.2135266339196,0.0422572025057624,23.64576808854736,1.001208156609494,370.399,86290.0
Census Tract 3012,white,478.68425907475154,485.4953761104756,0.0142288301873332,6.811117035724067,0.6445025415461126,3436.3925,50040.0
Census Tract 7404,white,1058.944822834129,1082.7436606863932,0.0224741056749017,23.79883785226434,0.5616302715996063,727.0445,93194.0
Census Tract 6403,white,788.0169739695964,922.3855441456524,0.1705148170846893,134.3685701760561,3.1260111201937484,3716.0563,79750.0
Census Tract 6406,white,1161.751267064224,1279.8242936116137,0.1016336542035913,118.07302654738942,3.0,344.5689,79231.0
Census Tract 718,white,395.0785637627708,395.0785637627708,0.0,0.0,0.0,207.2593,211964.0
Census Tract 1603,white,578.0222180946815,593.9349667363983,0.0275296487636228,15.912748641716805,0.4891392255912925,1230.2159,77721.0
Census Tract 3107,white,295.4463758191413,295.4463758191413,0.0,0.0,0.0,276.973,62647.0
Census Tract 715,white,844.3111463828461,845.0270958509896,0.0008479687508694,0.7159494681434353,0.1445346109235223,3228.8017,115993.0
Census Tract 717,white,393.35683617320046,396.518255486267,0.0080370264918301,3.161419313066517,0.516159618739717,688.1598,149625.0
Census Tract 6712,black,411.90540247386576,447.6998372805466,0.0868996487827126,35.79443480668084,1.0115187156811611,1428.2061,40286.0
Census Tract 6705,black,1132.6856962330742,1151.333029351335,0.0164629368767306,18.647333118260804,1.8,570.1695,30313.0
Census Tract 6708,black,819.0800937970524,823.9837148675772,0.0059867418432705,4.903621070524764,0.730394731448365,312.2528,39297.0
Census Tract 6709,black,793.239764339519,827.7352351529595,0.0434868149129699,34.495470813440534,1.0,1018.5016,29906.0
Census Tract 6714,black,773.5294043896721,801.0150043153525,0.035532715071597,27.48559992568039,1.3419892997829663,2751.5656,26080.0
Census Tract 6715,black,322.85158556560964,327.9939224327464,0.0159278662303229,5.142336867136692,0.1213397028380261,939.7905,34167.0
Census Tract 6716,black,256.91525888740364,256.91525888740364,0.0,0.0,0.0,313.9518,21063.0
Census Tract 2305,white,818.6991500340966,957.0808980437878,0.1690263731236656,138.38174800969114,6.333333333333333,212.7507,28413.0
Census Tract 2406,white,519.637836121846,552.5651960619207,0.0633659784780448,32.927359940074666,1.716386190632296,320.9068,157938.0
Census Tract 803,white,238.23909319348155,238.4731203358558,0.0009823204883683,0.2340271423742592,0.0421873480011101,3257.6307,157112.0
Census Tract 3008,white,309.80726412839715,327.123622940596,0.0558939728573381,17.316358812198814,1.0,611.7764,29684.0
Census Tract 6502,white,812.4272960532996,847.8513106827386,0.0436026888824707,35.42401462943894,1.75,912.2712,92357.0
Census Tract 2214,white,339.70287090343487,344.22111465550154,0.013300575706206,4.518243752066667,0.7036925586324196,1454.5451,104583.0
Census Tract 1610,white,98.95559569912216,98.95559569912216,0.0,0.0,0.0,1614.3736,102159.0
Census Tract 2405,white,371.82179744085727,375.6553502311818,0.0103101884201244,3.833552790324575,0.558299553220147,496.3966,171962.0
Census Tract 2407,white,495.8944038372636,565.3656539070304,0.1400928293043715,69.47125006976682,1.8625688833301468,1003.7443,102102.0
Census Tract 2408,white,473.003018582912,493.4774319836503,0.043286010017607,20.474413400738285,0.4105024330627701,2173.8239000000003,130278.0
Census Tract 2409,white,631.7487911549381,675.057082870692,0.0685530266493735,43.30829171575397,3.0,138.7652,76429.0
Census Tract 2411,white,433.2028362646231,453.3358054301881,0.0464746937927865,20.132969165564987,1.1374756568500322,3885.3846,92927.0
Census Tract 1903,white,394.3010977730079,462.33921975856737,0.1725537219394905,68.03812198555948,2.749839606112765,811.9075,69309.0
Census Tract 1908,white,813.9946637779366,932.8670007242108,0.1460357693188801,118.87233694627412,4.50410707371867,301.9303,52404.0
Census Tract 1911,white,637.7243265637317,682.5017461195059,0.0702143821250315,44.77741955577426,4.814901473749239,811.3117,50513.0
Census Tract 801,white,398.2667733313321,402.7389809270359,0.0112291757564802,4.472207595703821,0.6373936924127483,3602.1025,114681.0
Census Tract 804,white,335.84147640706874,336.4902567858228,0.0019318054032363,0.6487803787540543,0.1589974284969037,1223.3701,
Census Tract 810,white,370.3048959644578,382.4917789590488,0.0329104020157505,12.186882994590974,1.1423919944741,6763.0077,79556.0
Census Tract 1506,white,813.8031033139262,899.3689908365977,0.1051432308063641,85.56588752267157,3.740108440285516,400.958,81923.0
Census Tract 3016,white,340.8009655900682,340.8009655900682,0.0,0.0,0.0,1837.3341,28442.0
Census Tract 7503,white,1270.486113092261,1280.9761637319311,0.0082567219992185,10.490050639670471,0.2515035542647766,2932.252,119000.0
Census Tract 6408,white,1046.892409315846,1158.9201025080322,0.1070097482752763,112.02769319218623,2.0,1018.2956,38365.0
Census Tract 7402,white,2532.2486892665656,2617.0327950993887,0.0334817453720865,84.78410583282312,2.0,404.207,118444.0
Census Tract 6504,white,1904.728186759537,2113.5250550143546,0.10962029632692,208.7968682548176,6.0,1632.7228,72308.0
Census Tract 6505,white,1399.251398780804,1484.2713378541291,0.0607610177466357,85.0199390733253,3.0,232.4655,66818.0
Census Tract 6606,white,332.97863761465817,346.1690871038004,0.0396135006847104,13.190449489142225,0.5420067910377036,8866.3033,36729.0
Census Tract 2211,white,576.2707791969056,600.1576396004342,0.0414507576400412,23.88686040352865,0.9535303975985708,2386.8119,87478.0
Census Tract 2213,white,475.27484962815566,500.3292857562482,0.0527156784073354,25.05443612809256,1.0,947.9627,81264.0
Census Tract 2215,white,454.5550674473757,470.3240718187556,0.0346910759568321,15.76900437137988,1.0769740657986744,873.5662,62500.0
Census Tract 2216,white,560.7132441722183,609.1142975090888,0.0863205102428515,48.40105333687052,4.0,4323.6187,135236.0
Census Tract 1608,white,493.4171191400674,510.17249848621327,0.0339578395158791,16.755379346145844,0.658397596042509,5031.9359,82691.0
Census Tract 1609,white,636.5988820660901,647.3999739766062,0.0169668722562958,10.801091910516108,0.5685790209151118,542.7272,114861.0
Census Tract 2228,white,655.547454733821,681.5380856986453,0.0396472151285791,25.99063096482428,1.7360265014726233,435.4475,84239.0
Census Tract 1611,white,590.6943516042804,639.5575702342317,0.082721662222167,48.863218629951234,1.0750886579722825,996.3289,158393.0
Census Tract 1613,white,514.6952591313682,630.4985433690315,0.2249938816866123,115.80328423766332,2.240383704784632,1268.1833,53969.0
Census Tract 3302,white,236.5621742206881,236.9128597105041,0.0014824241913201,0.3506854898160441,0.2119997959995764,2590.1907,128000.0
Census Tract 4206,black,578.2804665392788,595.372752681174,0.0295570871417878,17.092286141895215,0.5036949696847687,3526.0646,34643.0
Census Tract 4207,black,442.1063669130588,481.8711261999307,0.0899438738340806,39.764759286871936,0.816888743048545,1654.1681,24785.0
Census Tract 6610,white,1528.4917697440803,1594.973585007897,0.0434950430089316,66.48181526381677,5.443157350888717,1026.6024,46066.0
Census Tract 6405,white,1227.718834014316,1349.2025109949848,0.0989507317269452,121.48367698066863,3.3297298846369467,1702.8502,72813.0
Census Tract 6407,white,449.2292378116051,485.0789093380228,0.0798026230462143,35.849671526417694,1.0,114.0339,72297.0
Census Tract 3108,white,354.85567524858794,354.85567524858794,0.0,0.0,0.0,1478.2522,63779.0
Census Tract 6604,white,570.356524925462,653.4519512178285,0.1456903229137703,83.09542629236648,3.0,805.673,44297.0
