,race,distance,restricted_distance,rdiff,adiff,n_cameras
Census Tract 307.02,white,1740.6,1785.4,2.5738251177754905,44.80000000000018,2
Census Tract 306.03,white,1768.5,1792.8000000000002,1.3740458015267278,24.300000000000182,2
Census Tract 307.01,white,1790.0000000000002,1821.2,1.743016759776526,31.199999999999818,2
Census Tract 8363,black,1221.5,1281.7,4.928366762177654,60.200000000000045,3
Census Tract 8383,white,1161.8,1173.7,1.0242726803236437,11.900000000000091,1
Census Tract 8398,white,886.4,898.3000000000001,1.3425090252707683,11.900000000000091,1
Census Tract 8366,black,1213.2,1232.3,1.5743488295417003,19.09999999999991,2
Census Tract 7302.02,black,1309.1,1378.4,5.293713238102527,69.30000000000018,3
Census Tract 4301.01,black,1452.1,1464.0,0.8195027890641203,11.900000000000091,1
Census Tract 633.02,white,1446.4,1472.7000000000003,1.8183075221239062,26.300000000000182,4
Census Tract 8362,black,1157.3000000000002,1276.0,10.256631815432455,118.69999999999982,3
Census Tract 714,white,1338.9,1351.7,0.9560086638285125,12.799999999999955,1
Census Tract 8401,white,921.3,933.2,1.2916530988820245,11.900000000000091,1
Census Tract 5805.02,white,566.8000000000001,638.1999999999999,12.59703599153138,71.39999999999986,2
Census Tract 8414,white,769.0,780.9,1.5474642392717786,11.899999999999977,1
Census Tract 814.01,white,1179.3999999999999,1193.6,1.2040020349330207,14.200000000000045,2
Census Tract 814.03,white,1186.6999999999998,1198.6,1.0027808207634694,11.900000000000091,1
Census Tract 307.03,white,1747.7000000000003,1828.4,4.617497282142232,80.69999999999982,2
Census Tract 8360,black,1115.0,1126.9,1.0672645739910396,11.900000000000091,1
Census Tract 8358,black,1074.4,1086.3,1.107594936708848,11.899999999999864,1
Census Tract 8359,black,1014.9,1026.8,1.1725293132328287,11.899999999999977,1
