,Unnamed: 0,majority,shortest_path,shortest_restricted_path,relative_increase,absolute_increase,n_cameras
189,Census Tract 813,0,164.94696674922938,168.85182558616094,0.0236734200930664,3.904858836931567,0.4285714285714285
190,Census Tract 7005.02,1,656.4627341728144,669.7067216051967,0.0201747741995903,13.243987432382257,2.0
191,Census Tract 611,0,578.9157471686516,612.8689618329231,0.0586496650511393,33.95321466427151,2.0
192,Census Tract 8364,1,,,0.0,,
193,Census Tract 8365,1,548.8783357263271,554.5816120861123,0.01039078423862,5.70327635978515,0.75
194,Census Tract 8396,1,575.1420173887919,575.1420173887919,0.0,0.0,0.0
195,Census Tract 8400,0,409.6212972627555,412.40599124444304,0.0067982158161597,2.7846939816875533,0.3
196,Census Tract 8308,0,647.7259580418083,661.9187023486166,0.0219116497194516,14.192744306808322,0.9333333333333332
197,Census Tract 4603.01,1,599.4779483386903,599.4779483386903,0.0,0.0,0.0
198,Census Tract 3104,0,384.551962375839,384.551962375839,0.0,0.0,0.0
199,Census Tract 811,0,323.3271283114724,323.9453405840375,0.0019120334127038,0.6182122725651311,0.25
200,Census Tract 1507,0,684.7649577933621,734.6386176851054,0.0728332536940264,49.87365989174327,1.75
201,Census Tract 3017.02,0,575.9809745944193,575.9809745944193,0.0,0.0,0.0
202,Census Tract 7003.01,1,326.4333613749825,386.9725860018801,0.1854566101084094,60.53922462689764,1.0
203,Census Tract 4909.02,1,436.65403096350815,441.1290723406988,0.0102484829175083,4.475041377190678,1.0
204,Census Tract 618,0,574.9904515009243,623.0408864511958,0.0835673615532973,48.05043495027144,1.5
205,Census Tract 4909.01,1,883.2661165942051,892.38663471564,0.0103259005978886,9.120518121434884,0.3333333333333333
206,Census Tract 8319,0,626.8231561821852,657.5615913345838,0.0490384486425457,30.73843515239855,1.0
207,Census Tract 8306,0,644.6869912144359,668.242513776087,0.0365379213209779,23.55552256165106,1.75
208,Census Tract 8309,0,342.6881289956448,355.39161667244457,0.037070113032603,12.703487676799796,0.5
209,Census Tract 8307,0,460.6331078010245,467.2557421509004,0.014377243488839,6.622634349875966,0.25
210,Census Tract 7005.01,1,950.88674011582,1010.2092276773632,0.0623864915334896,59.3224875615432,2.333333333333333
211,Census Tract 4603.02,1,207.54281002523143,207.54281002523143,0.0,0.0,0.0
212,Census Tract 4313.02,1,686.2401884415926,686.2401884415926,0.0,0.0,0.0
213,Census Tract 4313.01,1,1135.8342584501431,1149.3946604089858,0.0119387154049623,13.560401958842704,0.8888888888888888
214,Census Tract 4401.01,1,718.3379844673509,728.653686622553,0.0143605132657034,10.315702155202075,0.3076923076923077
