,race,distance,restricted_distance,rdiff,adiff,n_cameras
Census Tract 306.03,white,899.3999999999999,917.6000000000001,2.0235712697354096,18.200000000000273,2
Census Tract 307.01,white,920.9,946.0000000000001,2.725594527093076,25.100000000000136,2
Census Tract 8363,black,743.7,743.7,0.0,0.0,0
Census Tract 8383,white,291.4,291.4,0.0,0.0,0
Census Tract 8398,white,413.1,413.1,0.0,0.0,0
Census Tract 8366,black,533.7,556.5,4.272062956717248,22.799999999999955,2
Census Tract 7302.02,black,1005.4000000000001,1033.5,2.7949074995026764,28.09999999999991,2
Census Tract 4301.01,black,926.0,926.0,0.0,0.0,0
Census Tract 633.02,white,576.0,597.5,3.732638888888889,21.5,3
Census Tract 8362,black,735.3,735.3,0.0,0.0,0
Census Tract 714,white,469.80000000000007,476.5,1.4261387824606069,6.699999999999932,1
Census Tract 8401,white,358.0,358.0,0.0,0.0,0
Census Tract 5805.02,white,668.8,668.8,0.0,0.0,0
Census Tract 8414,white,514.3,514.3,0.0,0.0,0
Census Tract 814.01,white,303.7,306.0,0.7573263088574289,2.3000000000000114,1
Census Tract 814.03,white,342.9,345.2,0.6707494896471309,2.3000000000000114,1
Census Tract 307.03,white,878.5999999999999,953.2,8.490780787616679,74.60000000000014,2
Census Tract 8360,black,586.2,586.2,0.0,0.0,0
Census Tract 8358,black,545.6,545.6,0.0,0.0,0
Census Tract 8359,black,486.1,486.1,0.0,0.0,0
Census Tract 8345,black,621.0,621.0,0.0,0.0,0
Census Tract 8436,black,656.6,656.6,0.0,0.0,0
Census Tract 5805.01,white,609.6999999999999,609.6999999999999,0.0,0.0,0
Census Tract 8346,black,620.0999999999999,673.9,8.676019996774725,53.80000000000007,1
Census Tract 8318,white,828.8000000000001,855.3,3.1973938223938085,26.499999999999886,3
Census Tract 716,white,415.5,428.0,3.0084235860409145,12.5,2
Census Tract 8326,white,340.9,340.9,0.0,0.0,0
Census Tract 619.01,white,620.9,659.0999999999999,6.152359478176829,38.19999999999993,3
Census Tract 8399,white,485.7,485.7,0.0,0.0,0
Census Tract 301.04,white,980.8,1058.9,7.9628874388254625,78.10000000000014,2
Census Tract 8397,white,475.79999999999995,475.79999999999995,0.0,0.0,0
Census Tract 8352,white,809.8000000000001,954.6,17.880958261299078,144.79999999999995,3
Census Tract 8339,black,1052.2,1052.2,0.0,0.0,0
Census Tract 8368,black,442.9,442.9,0.0,0.0,0
Census Tract 8388,black,1454.1,1454.1,0.0,0.0,0
Census Tract 8367,black,460.99999999999994,469.0,1.7353579175705114,8.000000000000057,1
Census Tract 8322,white,321.40000000000003,321.40000000000003,0.0,0.0,0
Census Tract 2522.01,black,535.2,535.2,0.0,0.0,0
Census Tract 8310,white,332.70000000000005,332.70000000000005,0.0,0.0,0
Census Tract 8324,white,433.0,433.0,0.0,0.0,0
Census Tract 701.03,white,512.0,561.9000000000001,9.746093750000018,49.90000000000009,4
Census Tract 2207.01,white,599.0,629.3,5.058430717863097,30.299999999999955,1
Census Tract 8416,white,490.20000000000005,490.20000000000005,0.0,0.0,0
Census Tract 6603.01,white,970.6,1002.4000000000001,3.2763239233463906,31.800000000000068,3
Census Tract 6603.02,white,952.1999999999999,979.5999999999999,2.8775467338794347,27.399999999999977,2
Census Tract 3018.02,white,669.7,669.7,0.0,0.0,0
Census Tract 8340,black,910.1000000000001,910.1000000000001,0.0,0.0,0
Census Tract 8342,black,1002.6,1011.4,0.877717933373225,8.799999999999955,1
Census Tract 7302.01,black,1092.8,1120.9,2.5713762811127507,28.100000000000136,2
Census Tract 8355,white,444.79999999999995,444.79999999999995,0.0,0.0,0
Census Tract 8395,white,427.4,427.4,0.0,0.0,0
Census Tract 8392,white,415.09999999999997,415.09999999999997,0.0,0.0,0
Census Tract 5305.02,black,1402.6999999999998,1402.6999999999998,0.0,0.0,0
Census Tract 8404,white,477.59999999999997,477.59999999999997,0.0,0.0,0
Census Tract 8410,white,317.4,317.4,0.0,0.0,0
Census Tract 301.01,white,954.5999999999999,1032.7,8.181437251204708,78.10000000000014,2
Census Tract 7003.02,black,1405.0,1550.0,10.320284697508896,145.0,4
Census Tract 7004.02,black,1399.1000000000001,1457.1999999999998,4.152669573297096,58.09999999999968,5
Census Tract 7004.01,black,1359.7,1455.4,7.038317275869681,95.70000000000005,4
Census Tract 8305,white,626.5,626.5,0.0,0.0,0
Census Tract 8417,white,523.2,523.2,0.0,0.0,0
Census Tract 6401,white,952.3,1064.1999999999998,11.750498792397341,111.89999999999986,2
Census Tract 8407,white,459.1,459.1,0.0,0.0,0
