,Unnamed: 0.1,Unnamed: 0,sampno,locno,perno,loctype,state,country,state_fips,county_fips,tract_fips,out_region,home,latitude,longitude,tract
590,590,3474,70000060,10000,-1,1,IL,USA,17,31,70200,0,1,41.929078,-87.646293,Census Tract 702
591,591,3475,70000060,10002,1,2,IL,USA,17,31,839100,0,0,41.880986,-87.63307,Census Tract 8391
592,592,3476,70000060,20002,2,2,IL,USA,17,31,320100,0,0,41.886447,-87.619467,Census Tract 3201
593,593,3486,70000062,10000,-1,1,IL,USA,17,31,40402,0,1,41.972545,-87.678818,Census Tract 404.02
594,594,3487,70000062,10002,1,2,IL,USA,17,31,320100,0,0,41.886447,-87.619467,Census Tract 3201
607,607,3549,70000080,10000,-1,1,IL,USA,17,31,63100,0,1,41.938232,-87.64678,Census Tract 631
608,608,3550,70000080,10002,1,2,IL,USA,17,31,839100,0,0,41.880986,-87.63307,Census Tract 8391
609,609,3551,70000080,20002,2,2,IL,USA,17,31,320100,0,0,41.886447,-87.619467,Census Tract 3201
610,610,3552,70000080,30003,3,3,IL,USA,17,31,839000,0,0,41.869903,-87.631213,Census Tract 8390
611,611,3565,70000081,10000,-1,1,IL,USA,17,31,140302,0,1,41.972548,-87.723789,Census Tract 1403.02
612,612,3566,70000081,10002,1,2,IL,USA,17,31,839100,0,0,41.880986,-87.63307,Census Tract 8391
616,616,3576,70000086,10000,-1,1,IL,USA,17,31,40600,0,1,41.966834,-87.684018,Census Tract 406
617,617,3577,70000086,10002,1,2,IL,USA,17,31,31800,0,0,41.967011,-87.670621,Census Tract 318
618,618,3578,70000086,20002,2,2,IL,USA,17,31,31800,0,0,41.967011,-87.670621,Census Tract 318
619,619,3581,70000091,10000,-1,1,IL,USA,17,31,161100,0,1,41.94988,-87.738155,Census Tract 1611
620,620,3582,70000091,10002,1,2,IL,USA,17,31,281900,0,0,41.878635,-87.642924,Census Tract 2819
621,621,3583,70000091,30003,3,3,IL,USA,17,31,50500,0,0,41.950447,-87.683507,Census Tract 505
628,628,3622,70000103,10000,-1,1,IL,USA,17,31,63400,0,1,41.93466,-87.64673,Census Tract 634
629,629,3623,70000103,10002,1,2,IL,USA,17,31,320100,0,0,41.886447,-87.619467,Census Tract 3201
630,630,3624,70000103,20002,2,2,IL,USA,17,31,836200,0,0,41.790469,-87.601285,Census Tract 8362
631,631,3625,70000103,30003,3,3,IL,USA,17,31,63301,0,0,41.934541,-87.643024,Census Tract 633.01
635,635,3674,70000110,10000,-1,1,IL,USA,17,31,220500,0,1,41.928396,-87.704911,Census Tract 2205
636,636,3675,70000110,10002,1,2,IL,USA,17,31,281900,0,0,41.878635,-87.642924,Census Tract 2819
637,637,3676,70000110,10003,1,3,IL,USA,17,31,841900,0,0,41.868458,-87.642965,Census Tract 8419
638,638,3692,70000114,10000,-1,1,IL,USA,17,31,40800,0,1,41.963974,-87.691821,Census Tract 408
639,639,3693,70000114,10002,1,2,IL,USA,17,31,10400,0,0,42.006411,-87.658816,Census Tract 104
640,640,3694,70000114,40003,4,3,IL,USA,17,31,40800,0,0,41.963974,-87.691821,Census Tract 408
641,641,3695,70000114,50003,5,3,IL,USA,17,31,40800,0,0,41.963974,-87.691821,Census Tract 408
666,666,3793,70000145,10000,-1,1,IL,USA,17,31,31300,0,1,41.973765,-87.64653,Census Tract 313
667,667,3794,70000145,10002,1,2,IL,USA,17,31,281900,0,0,41.878635,-87.642924,Census Tract 2819
671,671,3803,70000157,10000,-1,1,IL,USA,17,31,520300,0,1,41.701114,-87.539563,Census Tract 5203
672,672,3804,70000157,10002,1,2,IL,USA,17,31,320100,0,0,41.886447,-87.619467,Census Tract 3201
673,673,3805,70000157,20002,2,2,IL,USA,17,31,350100,0,0,41.840259,-87.607949,Census Tract 3501
674,674,3806,70000157,30002,3,2,IL,USA,17,31,500200,0,0,41.700855,-87.600309,Census Tract 5002
675,675,3807,70000157,40003,4,3,IL,USA,17,31,832900,0,0,41.874181,-87.661901,Census Tract 8329
676,676,3812,70000158,10000,-1,1,IL,USA,17,31,221100,0,1,41.92102,-87.710361,Census Tract 2211
677,677,3813,70000158,10002,1,2,IL,USA,17,31,839100,0,0,41.880986,-87.63307,Census Tract 8391
678,678,3814,70000158,20002,2,2,IL,USA,17,31,836200,0,0,41.790469,-87.601285,Census Tract 8362
684,684,3847,70000180,10000,-1,1,IL,USA,17,31,600400,0,1,41.841718,-87.643932,Census Tract 6004
685,685,3848,70000180,10002,1,2,IL,USA,17,31,839100,0,0,41.880986,-87.63307,Census Tract 8391
690,690,3854,70000194,10000,-1,1,IL,USA,17,31,750500,0,1,41.684615,-87.671233,Census Tract 7505
691,691,3855,70000194,10002,1,2,IL,USA,17,31,839100,0,0,41.880986,-87.63307,Census Tract 8391
692,692,3856,70000194,20002,2,2,IL,USA,17,31,836200,0,0,41.790469,-87.601285,Census Tract 8362
693,693,3857,70000194,30003,3,3,IL,USA,17,31,836200,0,0,41.790469,-87.601285,Census Tract 8362
722,722,3941,70000279,10000,-1,1,IL,USA,17,31,241500,0,1,41.908374,-87.67093,Census Tract 2415
723,723,3942,70000279,10002,1,2,IL,USA,17,31,839100,0,0,41.880986,-87.63307,Census Tract 8391
724,724,3943,70000279,20002,2,2,IL,USA,17,31,220400,0,0,41.928431,-87.699968,Census Tract 2204
725,725,3944,70000279,30003,3,3,IL,USA,17,31,241300,0,0,41.906772,-87.681025,Census Tract 2413
728,728,3958,70000377,10000,-1,1,IL,USA,17,31,71700,0,1,41.912867,-87.641072,Census Tract 717
729,729,3959,70000377,10002,1,2,IL,USA,17,31,81700,0,0,41.892218,-87.631832,Census Tract 817
730,730,3960,70000377,30003,3,3,IL,USA,17,31,71200,0,0,41.921855,-87.646211,Census Tract 712
731,731,3972,70000381,10000,-1,1,IL,USA,17,31,31502,0,1,41.963633,-87.652366,Census Tract 315.02
732,732,3973,70000381,10003,1,3,IL,USA,17,31,281900,0,0,41.878635,-87.642924,Census Tract 2819
733,733,3974,70000381,20003,2,3,IL,USA,17,31,330100,0,0,41.859295,-87.615523,Census Tract 3301
741,741,4060,70000439,10000,-1,1,IL,USA,17,31,30703,0,1,41.978875,-87.657871,Census Tract 307.03
742,742,4061,70000439,10002,1,2,IL,USA,17,31,281900,0,0,41.878635,-87.642924,Census Tract 2819
743,743,4062,70000439,20002,2,2,IL,USA,17,31,81800,0,0,41.893324,-87.63919,Census Tract 818
843,843,4328,70001200,10000,-1,1,IL,USA,17,31,71600,0,1,41.916472,-87.641182,Census Tract 716
844,844,4329,70001200,10002,1,2,IL,USA,17,31,320400,0,0,41.875817,-87.617256,Census Tract 3204
845,845,4330,70001200,20002,2,2,IL,USA,17,31,320100,0,0,41.886447,-87.619467,Census Tract 3201
846,846,4331,70001200,30003,3,3,IL,USA,17,31,80300,0,0,41.90749,-87.635799,Census Tract 803
847,847,4332,70001200,40003,4,3,IL,USA,17,31,80300,0,0,41.90749,-87.635799,Census Tract 803
853,853,4379,70001308,10000,-1,1,IL,USA,17,31,31800,0,1,41.967011,-87.670621,Census Tract 318
854,854,4380,70001308,30003,3,3,IL,USA,17,31,60200,0,0,41.957904,-87.671517,Census Tract 602
855,855,4381,70001308,40003,4,3,IL,USA,17,31,30500,0,0,41.987226,-87.664936,Census Tract 305
856,856,4383,70001383,10000,-1,1,IL,USA,17,31,62100,0,1,41.942691,-87.65177,Census Tract 621
857,857,4384,70001383,10002,1,2,IL,USA,17,31,831900,0,0,41.945169,-87.668791,Census Tract 8319
858,858,4385,70001383,20002,2,2,IL,USA,17,31,842200,0,0,41.904728,-87.64922,Census Tract 8422
859,859,4386,70001383,30002,3,2,IL,USA,17,31,833000,0,0,41.885286,-87.657249,Census Tract 8330
