sampno,locno,perno,loctype,state,country,state_fips,county_fips,tract_fips,out_region,home,latitude,longitude
20001889,10406,-1,4,IL,USA,17,31,803901,0,0,42.097312,-88.019328
20001889,2000001,-1,100,IL,USA,17,31,803902,0,0,42.082961,-88.015232
20001889,2000002,-1,100,IL,USA,17,31,804000,0,0,42.072763,-88.018075
20001889,2000004,-1,100,IL,USA,17,31,804000,0,0,42.072763,-88.018075
20001889,2000005,-1,100,IL,USA,17,31,805107,0,0,42.041414,-87.980523
20001965,10000,-1,1,IL,USA,17,31,560300,0,1,41.803908,-87.747987
20001965,10401,-1,4,IL,USA,17,31,560800,0,0,41.796206,-87.772166
20001965,10402,-1,4,IL,USA,17,31,560800,0,0,41.796206,-87.772166
20001965,10403,-1,4,IL,USA,17,31,820800,0,0,41.807254,-87.773592
20001965,10404,-1,4,IL,USA,17,43,840202,0,0,41.953708,-88.013314
20001965,10405,-1,4,MI,USA,26,65,980000,1,0,42.700878,-84.477894
20001965,10406,-1,4,IL,USA,17,31,820800,0,0,41.807254,-87.773592
20001965,10407,-1,4,IL,USA,17,31,560800,0,0,41.796206,-87.772166
20001965,1000000,-1,97,IL,USA,17,31,570100,0,0,41.8162,-87.718913
20001965,1000001,-1,97,IL,USA,17,31,570100,0,0,41.8162,-87.718913
20002017,10000,-1,1,IL,USA,17,31,30702,0,1,41.980812,-87.654528
20002017,10002,1,2,IL,USA,17,31,800300,0,0,42.112539,-87.757493
20002017,10401,-1,4,IL,USA,17,31,30800,0,0,41.979912,-87.664188
20002017,10402,-1,4,IL,USA,17,31,800200,0,0,42.134407,-87.771102
20002017,10403,-1,4,IL,USA,17,31,801500,0,0,42.139902,-87.814597
20002017,10404,-1,4,IL,USA,17,31,806600,0,0,42.003418,-87.873073
20002017,10406,-1,4,IL,USA,17,31,10400,0,0,42.006411,-87.658816
20002218,10000,-1,1,IL,USA,17,31,430102,0,1,41.768953,-87.563814
20002218,10401,-1,4,IL,USA,17,31,834200,0,0,41.755568,-87.583607
20002218,10405,-1,4,IL,USA,17,31,833100,0,0,41.879078,-87.657046
20002218,10407,-1,4,IL,USA,17,31,834200,0,0,41.755568,-87.583607
20002218,1000000,-1,97,IL,USA,17,31,839100,0,0,41.880986,-87.63307
20002218,1000004,-1,97,IL,USA,17,31,430700,0,0,41.765272,-87.56089
20002218,1000005,-1,97,IL,USA,17,31,430600,0,0,41.764413,-87.571373
20002266,10000,-1,1,IL,USA,17,31,30800,0,1,41.979912,-87.664188
20002266,10401,-1,4,IL,USA,17,31,30800,0,0,41.979912,-87.664188
20002266,10402,-1,4,IL,USA,17,31,30800,0,0,41.979912,-87.664188
20002266,10406,-1,4,IL,USA,17,31,30800,0,0,41.979912,-87.664188
20002266,10407,-1,4,IL,USA,17,31,320100,0,0,41.886447,-87.619467
20002368,10000,-1,1,IL,USA,17,31,822400,0,1,41.722941,-87.788472
20002368,10401,-1,4,IL,USA,17,31,822301,0,0,41.729854,-87.771261
20002368,10403,-1,4,IL,USA,17,31,823703,0,0,41.718804,-87.808253
20002368,30002,3,2,IL,USA,17,31,823200,0,0,41.677285,-87.7557
20002368,1000000,-1,97,IL,USA,17,31,822500,0,0,41.717874,-87.758283
20002368,1000001,-1,97,IL,USA,17,31,823703,0,0,41.718804,-87.808253
20002368,1000002,-1,97,IL,USA,17,31,561100,0,0,41.78887,-87.77191
20002411,10000,-1,1,IL,USA,17,31,60100,0,1,41.957531,-87.666611
20002411,10002,1,2,IL,USA,17,31,839100,0,0,41.880986,-87.63307
20002411,10401,-1,4,IL,USA,17,31,60400,0,0,41.950673,-87.666536
20002411,10402,-1,4,IL,USA,17,31,32100,0,0,41.958154,-87.653018
20002411,10404,-1,4,IL,USA,17,31,81800,0,0,41.893324,-87.63919
20002411,1000000,-1,97,IL,USA,17,31,60100,0,0,41.957531,-87.666611
20002411,1000001,-1,97,IL,USA,17,31,60100,0,0,41.957531,-87.666611
20002411,1000002,-1,97,IL,USA,17,31,62500,0,0,41.941488,-87.671107
20002411,1000003,-1,97,IL,USA,17,31,832600,0,0,41.914754,-87.654465
20002411,1000004,-1,97,IL,USA,17,31,832600,0,0,41.914754,-87.654465
20002411,1000005,-1,97,IL,USA,17,31,831900,0,0,41.945169,-87.668791
20002411,1000006,-1,97,IL,USA,17,31,843700,0,0,41.94556,-87.690034
20002411,1000007,-1,97,IL,USA,17,31,843700,0,0,41.94556,-87.690034
20002535,10000,-1,1,IL,USA,17,31,30701,0,1,41.982745,-87.657966
20002535,10002,1,2,IL,USA,17,31,839100,0,0,41.880986,-87.63307
20002535,10401,-1,4,IL,USA,17,31,61800,0,0,41.94649,-87.647115
20002535,10406,-1,4,IL,USA,17,31,836200,0,0,41.790469,-87.601285
20002650,10000,-1,1,IL,USA,17,31,221500,0,1,41.921647,-87.689951
20002650,10002,1,2,IL,USA,17,31,760801,0,0,41.983487,-87.84485
20002650,10401,-1,4,IL,USA,17,31,830900,0,0,41.928424,-87.684906
20002772,10000,-1,1,IL,USA,17,31,140800,0,1,41.964514,-87.702847
20002772,10002,1,2,IL,USA,17,31,320100,0,0,41.886447,-87.619467
20002772,10401,-1,4,IL,USA,17,31,50200,0,0,41.95774,-87.683717
20002772,10402,-1,4,IL,USA,17,31,320100,0,0,41.886447,-87.619467
20002772,10406,-1,4,IL,USA,17,31,140800,0,0,41.964514,-87.702847
20002772,1000001,-1,97,IL,USA,17,31,62500,0,0,41.941488,-87.671107
20002935,10000,-1,1,IL,USA,17,31,802300,0,1,42.090458,-87.824237
20002935,10002,1,2,IL,USA,17,31,839100,0,0,41.880986,-87.63307
20002935,10401,-1,4,IL,USA,17,31,802200,0,0,42.072944,-87.788117
20002935,10402,-1,4,IL,USA,17,31,839100,0,0,41.880986,-87.63307
20002935,10403,-1,4,IL,USA,17,31,801608,0,0,42.106428,-87.83109
20002935,10404,-1,4,IL,USA,17,31,839100,0,0,41.880986,-87.63307
20002935,10406,-1,4,IL,USA,17,31,802100,0,0,42.072262,-87.811544
20002935,10409,-1,4,IL,USA,17,31,802300,0,0,42.090458,-87.824237
20002935,30002,3,2,IL,USA,17,31,804609,0,0,42.031579,-88.044607
20002935,2000022,-1,100,IL,USA,17,31,802300,0,0,42.090458,-87.824237
20002935,2000023,-1,100,IL,USA,17,31,802300,0,0,42.090458,-87.824237
20002935,2000069,-1,97,IL,USA,17,31,801902,0,0,42.086535,-87.783368
20002935,2000070,-1,97,IL,USA,17,31,802300,0,0,42.090458,-87.824237
