,race,distance,restricted_distance,rdiff,adiff,n_cameras
Census Tract 619.01,white,769.8277777777778,815.4499999999999,5.92628942981474,45.62222222222215,3
Census Tract 8399,white,528.0,538.8142857142857,2.048160173160168,10.814285714285688,0
Census Tract 301.04,white,1151.7294117647057,1246.723529411765,8.247954482772752,94.99411764705928,6
Census Tract 8397,white,784.5388888888889,810.8944444444445,3.359368914507467,26.35555555555561,0
Census Tract 8352,white,1062.2,1232.572222222222,16.03956149710243,170.37222222222204,4
Census Tract 8339,black,1042.2333333333333,1059.85,1.6902804874148363,17.61666666666656,1
Census Tract 8368,black,594.6588235294118,606.9411764705883,2.0654453369208197,12.282352941176441,2
Census Tract 8388,black,1202.888888888889,1213.0277777777778,0.8428782560502515,10.138888888888914,0
Census Tract 8367,black,587.8611111111111,616.7888888888889,4.9208524311298065,28.927777777777806,1
Census Tract 8322,white,587.95,614.6333333333333,4.538367775037551,26.68333333333328,5
Census Tract 2522.01,black,743.8944444444445,780.2611111111112,4.888686417577166,36.366666666666674,0
Census Tract 8310,white,552.0823529411765,591.1176470588235,7.070556396104581,39.03529411764703,5
Census Tract 8324,white,614.2888888888888,648.2277777777776,5.524906848026623,33.93888888888887,4
Census Tract 701.03,white,745.6166666666667,799.2888888888888,7.198366750862433,53.6722222222221,3
Census Tract 2207.01,white,733.0888888888888,762.2333333333335,3.97556761344693,29.144444444444616,3
Census Tract 8416,white,664.6999999999999,696.6944444444445,4.813366096651802,31.994444444444525,0
Census Tract 6603.01,white,1088.8277777777778,1138.3444444444442,4.547704207889196,49.516666666666424,3
Census Tract 6603.02,white,1064.8764705882354,1090.358823529412,2.3929867590275604,25.482352941176487,0
