,majority,shortest_path,shortest_restricted_path,relative_increase,absolute_increase,n_cameras
Census Tract 7401,white,,,,,
Census Tract 1405,white,,,,,
Census Tract 1408,white,,,,,
Census Tract 3011,white,,,,,
Census Tract 1502,white,83.80000000000001,134.39999999999998,0.6038186157517895,50.599999999999966,1.0
Census Tract 1503,white,,,,,
Census Tract 3012,white,214.60000000000002,228.2,0.06337371854613218,13.599999999999966,1.0
Census Tract 7404,white,,,,,
Census Tract 204,white,,,,,
Census Tract 6403,white,,,,,
Census Tract 6406,white,,,,,
Census Tract 718,white,278.70000000000005,285.9,0.02583423035522042,7.199999999999932,1.0
Census Tract 1603,white,,,,,
Census Tract 3107,white,,,,,
Census Tract 715,white,,,,,
Census Tract 717,white,368.09999999999997,389.7,0.05867970660146706,21.600000000000023,1.0
Census Tract 6712,black,,,,,
Census Tract 6705,black,158.10000000000002,166.60000000000002,0.05376344086021505,8.5,1.0
Census Tract 6706,black,,,,,
Census Tract 6707,black,,,,,
Census Tract 6708,black,,,,,
Census Tract 6709,black,,,,,
Census Tract 6711,black,,,,,
Census Tract 6713,black,,,,,
Census Tract 6714,black,,,,,
Census Tract 6715,black,,,,,
Census Tract 6716,black,,,,,
Census Tract 6701,black,,,,,
Census Tract 2305,white,,,,,
Census Tract 2306,black,,,,,
Census Tract 2406,white,,,,,
Census Tract 2410,white,,,,,
Census Tract 1910,white,,,,,
Census Tract 803,white,,,,,
Census Tract 3008,white,,,,,
Census Tract 6502,white,250.8,282.70000000000005,0.12719298245614047,31.900000000000034,2.0
Census Tract 6605,white,,,,,
Census Tract 2214,white,,,,,
Census Tract 1610,white,,,,,
Census Tract 3406,white,,,,,
Census Tract 2405,white,206.90000000000003,217.1,0.04929917834702735,10.19999999999996,1.0
Census Tract 2407,white,,,,,
Census Tract 2408,white,,,,,
Census Tract 2409,white,,,,,
Census Tract 2411,white,,,,,
Census Tract 1903,white,189.0,201.6,0.06666666666666664,12.599999999999994,1.0
Census Tract 1908,white,,,,,
Census Tract 1909,white,,,,,
Census Tract 1911,white,179.10000000000002,190.1,0.06141820212171954,10.999999999999972,1.0
Census Tract 1912,white,245.10000000000002,281.5,0.1485108119135046,36.39999999999998,2.0
Census Tract 801,white,,,,,
Census Tract 804,white,,,,,
Census Tract 810,white,,,,,
Census Tract 1506,white,107.5,117.8,0.09581395348837207,10.299999999999997,1.0
Census Tract 3016,white,,,,,
Census Tract 205,white,,,,,
Census Tract 7503,white,,,,,
Census Tract 6408,white,,,,,
Census Tract 7501,black,,,,,
Census Tract 7402,white,,,,,
Census Tract 6504,white,185.7,362.9,0.9542272482498654,177.2,1.0
Census Tract 6505,white,221.0,398.20000000000005,0.8018099547511315,177.20000000000005,1.0
Census Tract 6606,white,,,,,
Census Tract 2211,white,263.5,288.2,0.09373814041745726,24.69999999999999,1.0
Census Tract 2213,white,,,,,
Census Tract 2215,white,289.09999999999997,300.5,0.039432722241439074,11.400000000000034,1.0
Census Tract 201,white,,,,,
Census Tract 2216,white,280.9,307.3,0.09398362406550387,26.400000000000034,1.0
Census Tract 1608,white,,,,,
Census Tract 1609,white,196.6,197.2,0.0030518819938962073,0.5999999999999943,1.0
Census Tract 2228,white,200.9,219.20000000000002,0.09109009457441519,18.30000000000001,1.0
Census Tract 1611,white,,,,,
Census Tract 1612,white,,,,,
Census Tract 1613,white,,,,,
Census Tract 6501,white,,,,,
Census Tract 3302,white,,,,,
Census Tract 4206,black,213.89999999999998,275.4,0.28751753155680226,61.5,1.0
Census Tract 4207,black,233.79999999999998,346.0,0.4798973481608213,112.20000000000002,1.0
Census Tract 6610,white,236.10000000000002,245.4,0.039390088945362056,9.299999999999983,1.0
Census Tract 101,white,,,,,
Census Tract 2303,white,165.5,218.50000000000003,0.32024169184290047,53.00000000000003,1.0
Census Tract 6404,white,,,,,
Census Tract 6405,white,,,,,
Census Tract 6407,white,,,,,
Census Tract 1512,white,,,,,
Census Tract 3108,white,,,,,
Census Tract 6604,white,,,,,
Census Tract 6704,black,,,,,
Census Tract 3404,white,,,,,
Census Tract 4208,black,,,,,
Census Tract 4212,black,234.4,279.5,0.19240614334470987,45.099999999999994,1.0
Census Tract 6611,white,236.90000000000003,318.1,0.34276065850569853,81.19999999999999,1.0
Census Tract 2225,white,,,,,
Census Tract 1902,white,190.3,209.8,0.1024697845507094,19.5,1.0
Census Tract 3906,black,,,,,
Census Tract 103,white,,,,,
Census Tract 106,white,,,,,
Census Tract 202,white,,,,,
Census Tract 1508,white,195.3,209.70000000000002,0.07373271889400924,14.400000000000006,1.0
Census Tract 1511,white,,,,,
Census Tract 2301,white,,,,,
Census Tract 1601,white,189.60000000000002,229.0,0.20780590717299563,39.39999999999998,1.0
Census Tract 1602,white,,,,,
Census Tract 1604,white,,,,,
Census Tract 3106,white,,,,,
Census Tract 3109,white,,,,,
Census Tract 3204,white,,,,,
Census Tract 615,white,152.9,166.70000000000002,0.09025506867233493,13.800000000000011,1.0
Census Tract 3206,white,,,,,
Census Tract 7403,white,,,,,
Census Tract 6607,black,,,,,
Census Tract 2227,white,233.89999999999998,264.6,0.13125267208208657,30.700000000000045,2.0
Census Tract 2212,white,,,,,
Census Tract 1607,white,,,,,
Census Tract 2222,white,243.3,269.7,0.10850801479654737,26.399999999999977,1.0
Census Tract 3405,white,,,,,
Census Tract 3301,white,,,,,
Census Tract 3403,white,,,,,
Census Tract 3504,white,,,,,
Census Tract 7505,black,,,,,
Census Tract 7504,white,,,,,
Census Tract 7502,black,,,,,
Census Tract 4302,black,,,,,
Census Tract 6608,white,,,,,
Census Tract 6609,white,316.9,410.5,0.2953613127169455,93.60000000000002,2.0
Census Tract 6702,black,,,,,
Census Tract 6703,black,,,,,
Census Tract 2226,white,,,,,
Census Tract 2304,white,127.0,180.0,0.41732283464566927,53.0,1.0
Census Tract 1704,white,,,,,
Census Tract 3807,black,,,,,
Census Tract 3819,black,,,,,
Census Tract 3902,black,,,,,
Census Tract 1710,white,,,,,
Census Tract 1801,white,,,,,
Census Tract 3903,black,,,,,
Census Tract 4003,black,,,,,
Census Tract 4004,black,,,,,
Census Tract 4005,black,,,,,
Census Tract 4008,black,199.89999999999998,209.5,0.04802401200600312,9.600000000000023,1.0
Census Tract 4403,black,,,,,
Census Tract 4407,black,,,,,
Census Tract 4308,black,,,,,
Census Tract 6718,black,,,,,
Census Tract 6805,black,,,,,
Census Tract 6811,black,,,,,
Census Tract 2001,white,,,,,
Census Tract 4102,black,,,,,
Census Tract 6806,black,,,,,
Census Tract 1706,white,,,,,
Census Tract 3805,white,,,,,
Census Tract 3817,white,,,,,
Census Tract 4303,black,,,,,
Census Tract 4309,black,,,,,
Census Tract 4312,black,,,,,
Census Tract 2308,black,198.3,238.9,0.20474029248613207,40.599999999999994,2.0
Census Tract 2311,black,125.9,162.5,0.2907069102462271,36.599999999999994,1.0
Census Tract 1709,white,234.5,249.9,0.0656716417910448,15.400000000000006,1.0
Census Tract 2101,white,267.9,333.4,0.2444942142590519,65.5,1.0
Census Tract 4202,black,,,,,
Census Tract 4203,black,,,,,
Census Tract 4406,black,,,,,
Census Tract 4408,black,,,,,
Census Tract 4409,black,,,,,
Census Tract 5604,white,,,,,
Census Tract 4503,black,,,,,
Census Tract 6719,black,,,,,
Census Tract 6720,black,,,,,
Census Tract 6809,black,,,,,
Census Tract 6810,black,,,,,
